"Url";"Titulo";"Descripcion";"Tipo";"Idioma"
"http://www.toysrus.es/product/index.jsp?productId=89615191";"Asalvo - Silla de Paseo Elba Rosa";"Comprar Asalvo - Silla de Paseo Elba Rosa - La Asalvo - Silla de Paseo Elba Rosa es muy ligera, tiene chasis de acero, respaldo reclinable en varias posiciones y 4 ruedas dobles. Incluye capota con ventana, cubrepiés y cesta en la parte inferior. Peso máximo recomendado: 15 kg. Edad máxima recomendada: 3 años.";"product";"es_ES"
"http://www.toysrus.es/product/index.jsp?productId=78663551";"Zobo - Silla Paseo Moving Light";"Comprar Zobo - Silla Paseo Moving Light - Zobo - Silla Paseo Moving Light, incluye accesorios como cestilla y barra frontal. Tiene 3 ruedas y está lista para conquistar todo tipo de terrenos. Gran capota de protección. Edad recomendada + 6 meses.  Características:  Reclinable en 4 posiciones Reposapiés regulable en altura en 3 posiciones Barra de protección Bloqueo de rueda Suspensión en las ruedas Arnés de 5 puntos regulable Peso máximo soportado: 15 kg ";"product";"es_ES"
"http://www.toysrus.es/product/index.jsp?productId=55808701";"Maclaren - Silla Paseo Quest Medieval Azul/Plata";"Comprar Maclaren - Silla Paseo Quest Medieval Azul/Plata - Maclaren - Silla de Paseo Quest Medieval Azul/Plata, una silla de paseo que incluye burbuja para la lluvia con bloqueo de viento. Una silla de alto rendimiento diseñada para asegurar un paseo más suave, más seguro y más acogedor.  Características:  Suspensión en las cuatro ruedas. Suspensión de muelle. Capota expandible y extra grande, con visera solar. Protección solar UPF+50 resistente al agua. Prestaciones atractivas, dinámicas y duraderas. Sistema de Seguridad para Recién Nacido. Asiento cómodamente acolchado. Reductor y protector de hombros. Asiento extraíble y lavable a máquina para una limpieza fácil. Ruedas y manillares que pueden ser reemplazados fácilmente para extender la vida de la silla. Incluye la Norma de Seguridad Global de Maclaren y es respaldada por la mejor garantía del sector. Dimensiones y Peso:  Silla montada: 107 x 77,5 x 47 cm Silla plegada: 36,8 x 18 x 108,6 cm 5,6 kg    ";"product";"es_ES"
"http://www.toysrus.es/product/index.jsp?productId=94643861";"Chicco - Silla Paseo London - Red Passion";"Comprar Chicco - Silla Paseo London - Red Passion - Chicco - Silla de Paseo London - Red Passion, una silla de paseo compacta y manejable, de estilo básico, práctica y fácil de usar. Para los adultos que buscan una solución funcional. El cierre es práctico, ultra-compacto y estilo paraguas. El respaldo es reclinable en 4 posiciones para una mayor comodidad. Para niños de 0 a 15 kg (0 a 3 años, aproximadamente).   Características :  Respaldo reclinable en 4 posiciones que se ajusta con un sola mano. Apoyapiernas ajustable. Sistema de plegado ultra-compacto tipo paraguas. Barrera delantera plegable.   Accesorios :  Impermeable para lluvia. Barrera delantera plegable. Arnés de 5 puntos.  ";"product";"es_ES"
"http://www.toysrus.es/product/index.jsp?productId=94643851";"Chicco - Silla Paseo London - Matrix";"Comprar Chicco - Silla Paseo London - Matrix - Chicco - Silla de Paseo London - Matrix, una silla de paseo compacta y manejable, de estilo básico, práctica y fácil de usar. Para los adultos que buscan una solución funcional. El cierre es práctico, ultra-compacto y estilo paraguas. El respaldo es reclinable en 4 posiciones para una mayor comodidad. Para niños de 0 a 15 kg (0 a 3 años, aproximadamente).   Características :  Respaldo reclinable en 4 posiciones que se ajusta con un sola mano. Apoyapiernas ajustable. Sistema de plegado ultra-compacto tipo paraguas. Barrera delantera plegable.   Accesorios :  Impermeable para lluvia. Barrera delantera plegable. Arnés de 5 puntos.  ";"product";"es_ES"
"http://www.toysrus.es/product/index.jsp?productId=94466841";"Chicco - Silla de Paseo Echo Twin - Garnet";"Comprar Chicco - Silla de Paseo Echo Twin - Garnet - Chicco - Silla de Paseo Echo Twin - Garnet, la solución perfecta para gemelos o niños de edades similares. Una silla de paseo de  Chicco  comodísima para los pequeños e increíblemente práctica para los adultos. Los respaldos se ajustan de forma independiente y tiene un sistema de plegado tipo paraguas. Edades recomendadas: 0 a 3 años.   Características :  Ligera y manejable. Ambas sillas se ajustan independientemente. Respaldo reclinable en 4 posiciones. Ajustable con una sola mano. Sistema de cierre tipo paraguas. Compacta. Práctica asa de transporte.   Accesorios :  Impermeable integral. Arneses acolchados en hombros y separapiernas. Asa de transporte.  ";"product";"es_ES"
"http://www.toysrus.es/product/index.jsp?productId=60734411";"Num Noms - Pack Misterioso (varios modelos)";"Comprar Num Noms - Pack Misterioso (varios modelos) - Num Noms - Pack Misterioso (varios modelos), un vaso de yogurt con ¡una sorpresa en su interior! Incluye 1 Num, 1 pintalabios Nom perfumado y 1 póster-menú. Edad recomendada: +3 años. Varios modelos. La selección del modelo se hará según la disponibilidad. Puedes recibir cualquier modelo del surtido al realizar la compra, incluidas referencias que no figuran en las fotos. Precio por unidad.  Una taza de delicia y una cucharada de sorpresa forman Num Noms. Mezcla un Num y un Nom para crear tu propia fusión de sabores. ¡Es la receta perfecta para las travesuras! ¡Además, son perfumados!";"product";"es_ES"
"http://www.toysrus.es/product/index.jsp?productId=93621711";"Princesas Disney - Set Cenicienta";"Comprar Princesas Disney - Set Cenicienta - Descubre este set de la muñeca de la Princesa Cenicienta de Disney, y recrea todas sus historias llenas de fantasía. La princesa está fantástica con su falda azul, va acompañada por el príncipe de la película de Disney Cenicienta preparado para vivir junto a Cenicienta un épico final feliz. Incluye: muñeca, príncipe, 2 vestidos, corona, 2 pares de zapatos de princesa y 2 ratones. Un set para recrear las escenas favoritas de la película Disney. ¡Revive los clásicos animados de siempre! Edad recomendada + 3 años.";"product";"es_ES"
"http://www.toysrus.es/product/index.jsp?productId=93483051";"PJ Masks - Figura de Gatuno (Catboy) con Luz";"Comprar PJ Masks - Figura de Gatuno (Catboy) con Luz - La noche es el momento perfecto para luchar contra el crimen con las figuras PJ Masks con luz. Presiona la cabeza de la figura articulada de 7,5 cm y verás como su amuleto se ilumina de verdad. Incluye brazalete con forma de amuleto como la serie de televisión. Edad recomendada + 3 años.";"product";"es_ES"
"http://www.toysrus.es/product/index.jsp?productId=93408051";"You & Me - Pack Baberos y Toalla";"Comprar You & Me - Pack Baberos y Toalla - You & Me - Pack Baberos y Toalla, un juego de accesorios para muñecos bebé que incluye 1 paño y 2 baberos. Los baberos, con coloridos dibujos impresos, tienen cierre de VELCRO&reg; brand closure en la parte posterior del cuello. Un pack  You & Me  para la hora de comer de los muñecos y solo se puede encontrar en  Toys R Us . Edad recomendada: +2 años.";"product";"es_ES"
"http://www.toysrus.es/product/index.jsp?productId=92875211";"Baby Pelón - Elsa Pataky";"Comprar Baby Pelón - Elsa Pataky - Baby Pelón - Elsa Pataky, el muñeco más bonito del mundo, creado como homenaje a los peques enfermos de cáncer. Su pañuelo ha sido diseñado por Elsa Pataky, con su especial toque. El beneficio se su venta va destinado a alegrar la vida de los pequeños ingresados en los hospitales, a la construcción de jardines en las azoteas de los hospitales y a la investigación contra el cáncer infantil. Así, cada vez que compres Baby Pelones, estarás comprando felicidad. Edad recomendada: +3 años.   Son preciosos, son solidarios y huelen muy bien. Los Baby Pelones están pensados para todos los niños, los pequeños que sufren de cáncer y pierden su pelo podrán jugar con un muñeco de un aspecto dulce que está sin pelo como ellos pero no por ello deja de ser bonito. Y todos los demás niños tendrán en sus manos un muñeco precioso que les ayudará a comprender los sentimientos de otros pequeños que pasan por una difícil situación. Los pañuelos están diseñados por famosos amigos de Juegaterapia. Dimensión: 22 x 12 x 7,8 cm.  ";"product";"es_ES"
